x,y,prod
-63.40666580200195,4.21213436126709,1022m
110.66839599609375,51.84284591674805,1031 Films
82.36092376708984,-16.34886932373047,104 Films
-44.09653091430664,22.100852966308594,1066 Pictures
67.22464752197266,-74.22813415527344,108 Productions
-50.54661560058594,-79.74543762207031,108 Sound Studio
-11.862789154052734,52.88596725463867,109G Studio
-120.5717544555664,9.107080459594727,10:15! Productions
-0.15764731168746948,-82.90056610107422,10th Hole Productions
-99.2583999633789,-96.94818115234375,10th Street Entertainment
147.9824981689453,-23.25996971130371,11 K Film
55.61869430541992,31.108444213867188,11 Marzo Film
132.50440979003906,-51.913475036621094,110 In The Shade Productions
139.90695190429688,-1.7344259023666382,1119773 Ontario Inc.
113.07697296142578,-41.321929931640625,1122 Films
117.17610931396484,-65.58192443847656,1160594 B.C.
-93.26529693603516,68.60137176513672,11:11 Films
92.19564819335938,112.73381805419922,11:11 Production
81.62902069091797,-107.08734893798828,12 AM Pictures
95.66587829589844,35.49053955078125,12 Dogs II
47.336891174316406,17.299436569213867,12 Helpful Hands Productions
-16.438817977905273,-24.214082717895508,120 Films
87.11383056640625,62.30643081665039,120 Over 80
-17.149599075317383,-11.277558326721191,120dB Films
58.76984405517578,-53.805728912353516,1211 Entertainment
152.0947723388672,-51.268367767333984,1230 Manhattan
-68.21048736572266,154.15028381347656,1234 Cine Creations
-41.17317199707031,86.45805358886719,1244 Films
-94.46379852294922,-14.010024070739746,1244 Productions
-61.04768753051758,85.77967834472656,129 Productions
-124.84447479248047,-4.725255012512207,12:21 Productions
-146.29234313964844,5.42558479309082,12A
-134.98895263671875,47.611934661865234,13 Conejos
-86.32937622070312,127.76643371582031,13 Entertainment
24.07366371154785,-75.78878021240234,13 Films
29.935527801513672,-58.7713737487793,13 Little Pictures
-66.84230041503906,-13.785881042480469,13 Moons Productions LLC
63.663230895996094,-66.01744842529297,13 Paces
42.652748107910156,85.11007690429688,13 Productions
-75.62076568603516,41.54459762573242,13 TV
-120.90132904052734,8.188733100891113,13 dicembre
112.15662384033203,-83.67295837402344,1303 Productions
-8.36512279510498,-65.65612030029297,13th Night Productions
-16.108976364135742,9.538286209106445,14 Luglio Cinematografica
-73.71925354003906,102.88410186767578,14 Old Bond Street Leasing
45.85396194458008,-24.203588485717773,14 Pies
33.92226791381836,119.86492156982422,14 Reels Entertainment
-7.947479248046875,131.955322265625,14 Reels Plus
142.5118408203125,-58.86778259277344,1406 Pictures
-8.384735107421875,-50.60960388183594,1428 Films
-15.287405014038086,-25.83585548400879,1492 Pictures
-137.91331481933594,-46.327003479003906,14c Film
23.330427169799805,-19.836910247802734,1555 Filmworks
23.3218936920166,-124.44864654541016,15th Street Films
-6.906595230102539,-104.49285888671875,16-35 Films OCF Productions
-124.7464370727539,50.15507125854492,16/9 Action Plan of the European Union
62.67516326904297,106.43038177490234,160-H Productions
10.805577278137207,25.868391036987305,1618 Action Limited
54.11667251586914,-59.582149505615234,17 Road
109.02433013916016,41.44890213012695,1718 Studio
33.96052932739258,7.862954616546631,18 Degrees Films
95.62458801269531,100.84011840820312,18 Reels
-50.0395622253418,113.78297424316406,18 dicembre
1.12608802318573,-116.8915023803711,180 Degrees
-58.79526901245117,-61.44611740112305,1818 Productions
-13.835805892944336,-0.9512393474578857,1821 Pictures
79.32510375976562,-117.23104095458984,1887 Pictures
-156.57992553710938,45.51871871948242,1895 Films
97.33521270751953,98.79766845703125,19 April Entertainment
176.59779357910156,-8.480079650878906,19 Artist Development
87.09902954101562,-18.275562286376953,19 Entertainment
47.92176055908203,-146.3281707763672,1922 Films
130.6205596923828,-65.08675384521484,1926 Pictures
122.74247741699219,-35.54765319824219,1944 Films
62.018333435058594,3.8295648097991943,1971Cine
59.9002571105957,-60.13761520385742,1976 Experience
-28.489635467529297,17.95947265625,1976 Productions
-97.97489166259766,-105.45149993896484,1978 Films
-70.22257995605469,131.2539825439453,1980 Film ApS
-26.58188247680664,-23.310380935668945,1984 Private Defense Contractors
36.393104553222656,-47.11687469482422,1991 Broadway Theatre Group
-21.108898162841797,-67.61078643798828,1992 Number Four Limited Partnership
140.8311004638672,-2.6177151203155518,19th & Wilson
-22.9266357421875,-138.69180297851562,19th Hole Entertainment
-52.92559051513672,-89.81524658203125,1BR Movie
39.892250061035156,35.943389892578125,1T Entertainment
60.47947692871094,-13.686362266540527,1inMM Productions
-71.63255310058594,115.14154815673828,1st Copy Pictures
76.62706756591797,72.58715057373047,1stAveMachine
-34.72843933105469,-57.63077926635742,2 Bridges Productions
94.42884826660156,24.899028778076172,2 Focus
3.374317169189453,-45.60361099243164,2 Life! Films LLC
-9.198694229125977,-3.9082205295562744,2 Loop Films
90.38372039794922,-78.52300262451172,2 Man Production
-34.44159698486328,99.54032135009766,2 Many Executives
-157.86288452148438,-53.71419143676758,2 Minutes Animation
-46.07251739501953,22.01889419555664,2 Pilots Filmproduktion
95.20758056640625,-49.562191009521484,2 Productions
31.96845245361328,-77.9547348022461,2 Red Rabbit Films
176.16848754882812,-52.36029052734375,2 Smooth Film Productions
-46.11930465698242,99.80252838134766,2 Wolves Films
19.161218643188477,-4.5028204917907715,2 Wonder Full To Be
133.17169189453125,-21.68545150756836,2+2 Films
